from,to,year,type,pps
FCB,CA,2017,1,"1,6"
S04,CG,2021,1,"0,4"
BMG,DFA,2023,1,"1,4"
BMG,DH,2019,1,"0,8"
FCN,DH,2012,1,"1,6"
VFLW,DH,2016,1,"0,4"
FKR,DSC,2021,2,1
MKO,DSC,2022,2,"0,5"
FCA,DSCH,2016,1,"1,2"
SVD,DSCH,2016,1,"1,2"
RBL,DT,2022,1,1
S04,DT,2019,1,"0,2"
S04,DWA,2020,1,0
BVB,ETE,2021,1,3
UR,F95,2020,2,"1,2"
DSCH,FCA,2016,2,"1,4"
ENMA,FCA,2022,2,"0,6"
HH,FCA,2020,2,1
MBA,FCA,2016,2,2
MSC,FCA,2019,2,"1,4"
MW,FCA,2021,2,"0,8"
MW,FCA,2012,2,"0,2"
CA,FCB,2016,2,3
HF,FCB,2019,2,"1,8"
JH,FCB,2017,2,3
JN,FCB,2021,2,"2,6"
NK,FCB,2018,2,"2,6"
PGU,FCB,2013,2,"2,6"
TT,FCB,2023,2,2
MKAU,FCI,2016,2,"0,2"
MWA,FCI,2016,2,2
FF,FCK,2021,2,"1,4"
FS,FCK,2012,2,"0,25"
KBA,FCK,2012,2,0
MG,FCK,2019,2,"1,4"
MSCH,FCK,2019,2,0
SB,FCK,2021,2,"1,6"
SR,FCK,2017,2,"1,8"
BSCH,FCN,2019,2,"0,2"
GV,FCN,2013,2,"0,4"
MWIE,FCN,2012,2,"1,2"
RPR,FCN,2014,2,0
RPR,FCN,2013,2,"0,25"
F95,FF,2020,1,"0,6"
FCK,FF,2021,1,2
VFLW,FKO,2022,1,"1,6"
DSC,FKR,2022,1,"0,2"
S04,FKR,2022,1,0
TSGH,FKR,2012,1,0
BSC,FMA,2022,1,"1,4"
VFLW,FMA,2012,1,"0,2"
ABE,FSVM,2019,2,"1,8"
BS,FSVM,2021,2,"0,8"
JML,FSVM,2020,2,"0,2"
JML,FSVM,2019,2,0
KH,FSVM,2014,2,"1,8"
MSC,FSVM,2015,2,"1,6"
SS,FSVM,2017,2,"0,6"
B04,GS,2022,1,1
FCN,GV,2014,1,"0,6"
DAST,H96,2016,2,"1,6"
MF,H96,2015,2,"1,6"
TD,H96,2018,2,"0,6"
TK,H96,2013,2,"1,2"
TS,H96,2015,2,0
FCB,HF,2021,1,2
B04,HH,2018,1,2
FCA,HH,2021,1,"0,8"
S04,HS,2019,1,"1,2"
S04,HS,2012,1,"0,4"
TSGH,HS,2016,1,"0,8"
VFB,HS,2015,1,"1,4"
VFB,HS,2014,1,"1,4"
TSGH,HST,2012,1,"1,2"
BHO,HSV,2018,2,"0,4"
BLAB,HSV,2015,2,"1,4"
BVM,HSV,2013,2,"1,6"
CT,HSV,2018,2,"1,4"
JZ,HSV,2014,2,1
MG,HSV,2016,2,"0,2"
MSL,HSV,2014,2,"1,4"
PKN,HSV,2015,2,0
RC,HSV,2011,2,1
TF,HSV,2011,2,"1,4"
B04,HW,2021,1,1
VFB,HW,2018,1,"0,6"
FCB,JH,2018,1,"2,4"
FCB,JH,2013,1,"2,6"
S04,JK,2014,1,"1,4"
BSC,JKL,2020,1,1
BVB,JKLO,2015,1,"1,2"
VFB,JKR,2016,1,"1,6"
BSC,JLU,2015,1,"0,8"
FCA,JLU,2012,1,"1,6"
RBL,JMA,2021,1,"1,29"
FSVM,JML,2019,1,"1,2"
FCB,JN,2023,1,"1,8"
RBL,JN,2021,1,"0,8"
TSGH,JN,2019,1,"0,8"
HSV,JZ,2015,1,"0,4"
FSVM,KH,2015,1,"0,8"
BMG,LFA,2015,1,0
BVB,LFA,2020,1,"0,8"
VFLW,LGK,2012,1,1
SGF,LPR,2013,1,"0,67"
FCA,MBA,2019,1,"1,4"
S04,MBA,2020,1,"0,4"
TSGH,MBAB,2012,1,"0,2"
SGF,MBÜ,2013,1,"0,6"
H96,MF,2015,1,"0,6"
VFLW,MF,2021,1,"0,2"
FCK,MG,2021,1,"0,4"
HSV,MG,2018,1,"0,2"
TSGH,MG,2015,1,1
FCI,MHE,2016,1,"0,2"
FCN,MK,2019,1,"0,2"
FCKA,MKU,2012,1,"0,4"
TSGH,MKU,2013,1,"0,8"
HSV,MOE,2011,1,"0,2"
BMG,MR,2021,1,"1,2"
BVB,MR,2022,1,"1,8"
FCA,MSC,2020,1,"0,2"
FSVM,MSC,2017,1,1
VFLW,MSC,2018,1,"0,8"
H96,MSL,2013,1,"0,8"
HSV,MSL,2014,1,"0,2"
SCF,MSO,2012,1,"0,6"
VFLW,MVB,2021,1,0
FCA,MW,2022,1,"1,2"
FCA,MW,2016,1,"1,6"
S04,MW,2017,1,"1,2"
VFB,MW,2019,1,"0,4"
VFB,MWI,2022,1,"1,2"
FCB,NK,2019,1,"1,4"
SGE,NK,2018,1,"0,6"
SVD,NM,2016,1,0
SGE,OG,2023,1,"1,6"
VFLW,OG,2021,1,"1,4"
BSC,OR,2012,1,"0,8"
B04,PB,2021,1,"0,8"
BVB,PB,2017,1,"0,4"
BSC,PD,2021,1,1
BSC,PD,2019,1,"1,6"
FCB,PGU,2016,1,"2,6"
HSV,PKN,2015,1,0
VFB,PM,2022,1,"0,4"
BVB,PST,2018,1,"0,8"
FCK,PST,2017,1,"0,2"
SVD,RBER,2016,1,0
ABE,RBL,2021,2,"0,8"
DT,RBL,2021,2,2
JMA,RBL,2021,2,"0,8"
JN,RBL,2019,2,"2,6"
MR,RBL,2022,2,2
RR,RBL,2018,2,"1,6"
HSV,RC,2013,1,0
HSV,RC,2011,1,"1,2"
S04,RDM,2015,1,2
B04,RDU,2012,1,"0,6"
SVW,RDU,2014,1,"0,2"
FCI,RHA,2016,1,"0,2"
RBL,RHA,2018,1,"1,4"
B04,ROS,2017,1,"1,2"
FCN,RPR,2013,1,"0,25"
RBL,RR,2019,1,"1,6"
S04,RR,2011,1,"1,8"
BSC,RW,2012,1,"0,8"
ABR,S04,2015,2,3
CG,S04,2020,2,"0,6"
DGR,S04,2021,2,"0,8"
DT,S04,2017,2,"1,8"
DWA,S04,2019,2,2
HS,S04,2019,2,"0,8"
HS,S04,2011,2,2
JK,S04,2012,2,1
MBA,S04,2020,2,"0,6"
MW,S04,2016,2,0
RDM,S04,2014,2,"1,8"
TR,S04,2022,2,"0,6"
CST,SCF,2012,2,1
AH,SGE,2018,2,"0,8"
AVE,SGE,2015,2,0
DTO,SGE,2023,2,"1,5"
NK,SGE,2016,2,"0,6"
OG,SGE,2021,2,"0,8"
TS,SGE,2014,2,"1,2"
FKR,SGF,2013,2,"0,8"
LPR,SGF,2013,2,"0,67"
TSGH,SH,2022,1,"0,4"
B04,SHY,2014,1,"0,8"
B04,SLE,2014,1,"2,6"
B04,SLE,2013,1,3
FCK,SOL,2012,1,"0,2"
BSC,SS,2023,1,"0,4"
FSVM,SS,2019,1,0
NM,SVD,2016,2,"0,8"
RBER,SVD,2016,2,0
TFR,SVD,2016,2,"0,8"
ANO,SVW,2016,2,"1,4"
FKO,SVW,2017,2,"1,8"
RDU,SVW,2013,2,0
VS,SVW,2014,2,"1,8"
B04,TK,2017,1,1
BSC,TK,2022,1,0
H96,TK,2015,1,"0,4"
VFLB,TR,2022,1,0
H96,TS,2016,1,0
SGE,TS,2015,1,2
SVW,TS,2013,1,"0,6"
VFB,TSCH,2014,1,"0,2"
ABR,TSGH,2022,2,"1,8"
AS,TSGH,2019,2,1
FKR,TSGH,2012,2,0
HS,TSGH,2015,2,"0,8"
JN,TSGH,2016,2,"1,4"
MBAB,TSGH,2012,2,"1,2"
MG,TSGH,2013,2,"1,6"
MKU,TSGH,2012,2,"0,8"
MRA,TSGH,2020,2,"2,25"
PM,TSGH,2023,2,0
BVB,TT,2017,1,"2,2"
FSVM,TT,2014,1,"1,8"
DSC,UN,2021,1,"0,2"
AVE,VFB,2014,2,"0,2"
AZO,VFB,2015,2,"1,6"
BLAB,VFB,2022,2,"0,4"
HS,VFB,2014,2,"1,6"
HS,VFB,2014,2,"1,4"
JKR,VFB,2015,2,"1,6"
JLU,VFB,2016,2,0
MW,VFB,2018,2,"0,6"
MWI,VFB,2022,2,"1,8"
NW,VFB,2019,2,"1,75"
SH,VFB,2023,2,"1,6"
TK,VFB,2018,2,"2,6"
TSCH,VFB,2013,2,"2,2"
TL,VFLB,2022,2,"1,2"
AJO,VFLW,2017,2,"1,6"
BLAB,VFLW,2018,2,"0,4"
DH,VFLW,2012,2,"1,4"
FKO,VFLW,2021,2,"1,4"
LGK,VFLW,2012,2,2
MF,VFLW,2021,2,"0,2"
MSC,VFLW,2017,2,1
MVB,VFLW,2021,2,"2,6"
NK,VFLW,2022,2,"0,4"
OG,VFLW,2019,2,"1,8"
VIS,VFLW,2016,2,"0,8"
VFLW,VIS,2017,1,"0,6"
SVW,VS,2016,1,"0,8"
